Time,Temperature (C),Gas (ohm),Humidity (%),Pressure (hPa),Altitude (m),Time,PM1 (std),PM2.5 (std),PM10 (std)
1708129024.2710543,23.533125,93442,39.75952495447962,1008.7301576036074,37.69892010527796,3,5,5
1708129025.282385,23.505390625,127863,39.739079867646545,1008.7317289135339,37.68579044143999,4,6,6
1708129026.2944827,23.4762890625,137974,39.74184294461459,1008.724154962813,37.74907755291286,4,6,6
1708129027.3065474,23.447578125,143654,39.727137058354366,1008.7155182170516,37.821245734111656,4,6,6
1708129028.3185883,23.4235546875,146416,39.730437457382244,1008.6941631835091,37.99968938919479,4,6,6
1708129029.3306541,23.3985546875,149821,39.72779876532121,1008.6677464247234,38.220433288650945,3,5,5
1708129030.3427336,23.3704296875,152273,39.7306669762028,1008.6378125409661,38.470572669192755,3,5,5
1708129031.3548377,23.341328125,155093,39.739268525320654,1008.5942518278042,38.83459396809647,3,5,5
1708129032.3661647,23.31515625,157277,39.7365075549382,1008.5453157840109,39.24355016598043,3,5,5
1708129033.3788898,23.2864453125,159524,39.74515082598191,1008.5075483657113,39.5591816752793,3,5,5
1708129034.3909154,23.257734375,161836,39.742123063778656,1008.4783449887066,39.80324796800472,3,5,5
1708129035.4029756,23.23234375,163415,39.73944620940743,1008.4564096468374,39.98657565225855,2,4,4
1708129036.4148448,23.208515625,165514,39.73693473223068,1008.4268114959137,40.233951451519715,2,4,4
1708129037.4268854,23.1844921875,167166,39.75774323291949,1008.3883228082351,40.555641484236496,2,4,4
1708129038.4387004,23.162421875,168681,39.79626822473701,1008.3548154066764,40.83570581810356,3,4,4
1708129039.4509044,23.1383984375,170397,39.828756513070026,1008.3146147052856,41.171724587823526,4,5,5
1708129040.4629068,23.114375,173037,39.87292710781877,1008.2761269294657,41.49343598181721,4,5,5
1708129041.4743657,23.0891796875,175026,39.8936234769433,1008.2493778041436,41.71703226997858,4,5,5
1708129042.4861732,23.0610546875,176688,39.90817203121944,1008.2194378007736,41.967306846346744,4,5,5
1708129043.4979198,23.03390625,177625,39.91698440532625,1008.1962678445778,42.16099335226928,4,5,5
1708129044.5096834,23.006171875,179144,39.93157533064039,1008.1789647991878,42.305638462639685,3,4,4
1708129045.5215938,22.976484375,181081,39.92260040856774,1008.1789367042071,42.30587332475318,3,4,4
1708129046.533573,22.9473828125,182263,39.931207395030555,1008.1747491617572,42.34087946194318,3,4,4
1708129047.5451505,22.917890625,183662,39.9572937349197,1008.1613446922408,42.45293612030964,3,4,4
1708129048.556967,22.8942578125,184675,39.96063866075618,1008.1508962083367,42.540282613577475,3,4,4
1708129049.568872,22.8540234375,189322,39.962231344717964,1008.143473665953,42.602333501253334,3,4,4
1708129050.5812347,22.8028515625,195619,39.92763715207927,1008.1382784591026,42.64576455405565,3,4,4
1708129051.5933924,22.74875,201854,39.83439367992813,1008.129880126819,42.71597357835609,3,4,4
1708129052.6052504,22.6887890625,206797,39.73477620881753,1008.127064240826,42.73951414471697,3,4,4
1708129053.6171148,22.6190625,210229,39.62839309916259,1008.13697469541,42.656663827017375,3,3,3
1708129054.629022,22.5466015625,213085,39.545107939652446,1008.135439484331,42.66949798076698,3,3,3
1708129055.6409993,22.47375,215879,39.45602884526089,1008.122962456211,42.773804808970596,3,3,3
1708129056.6530068,22.392890625,217590,39.38944965101351,1008.1398203167477,42.63287486535651,3,3,3
1708129057.6650126,22.31125,219329,39.36934087052811,1008.1365225448752,42.66044374173746,3,3,3
1708129058.6770248,22.2262890625,219329,39.37215072770975,1008.1293451788199,42.72044569383355,3,3,3
1708129059.6890738,22.1440625,221393,39.398500458955475,1008.1318472964658,42.69952823973738,3,4,4
1708129060.7011924,22.063984375,221841,39.44833232925387,1008.1362078877687,42.663074231592226,4,5,5
1708129061.7133265,21.9846875,224410,39.504069783481626,1008.1350096675824,42.67309119257866,4,5,5
1708129062.725344,21.905390625,224717,39.5889074629511,1008.1252372801483,42.75478740839379,4,5,5
1708129063.7374864,21.82765625,226105,39.63901734789927,1008.1248937017313,42.7576597024676,3,4,4
1708129064.749523,21.75265625,224717,39.73599298620757,1008.1291053130427,42.722450950027955,3,4,4
1708129065.7614863,21.673359375,227197,39.873345213840665,1008.1312161028989,42.70480495107123,3,4,4
1708129066.7735415,21.5909375,228775,40.00463164711443,1008.1314778517058,42.70261675845858,3,4,4
1708129067.7855182,21.5137890625,228616,40.11321389400657,1008.1217575131534,42.783878079456144,3,4,4
1708129068.7974856,21.437421875,229572,40.20442076783378,1008.1184468018032,42.81155552959452,3,4,4
1708129069.8094647,21.3630078125,231835,40.30170883181671,1008.1149694374398,42.84062627330834,3,4,4
1708129070.8216329,21.292109375,233313,40.393566305425225,1008.1105316010891,42.877726674579776,4,5,5
1708129071.8337579,21.2223828125,234643,40.485585066936764,1008.1063297220019,42.91285459025963,4,6,6
1708129072.845773,21.156953125,233644,40.60733829129154,1008.1041900603485,42.93074231239602,4,6,6
1708129073.8577926,21.0962109375,235988,40.74136636108737,1008.1013563922643,42.95443202449302,4,6,6
1708129074.8699074,21.037421875,237520,40.85811965763838,1008.1034892501197,42.93660114195838,5,7,7
1708129075.8818355,20.9798046875,238725,40.951622225387545,1008.1007442690025,42.95954943537893,5,7,7
1708129076.8938398,20.9216015625,237348,41.06269516867032,1008.091882156956,43.033637848713944,5,7,7
1708129077.9056568,20.854609375,238552,41.155294252829165,1008.0972759373299,42.988545078016884,5,8,9
1708129078.9180741,20.7915234375,239071,41.24834809902053,1008.0887248088819,43.06003381809923,5,8,9
