Time,PM1.0,PM2.5,PM10,Temperature,Gas,Relative Humidity,Pressure,Altitude
1708126275.0249565,1,3,3,33.220625,1352295,100,612.4468983442713,4050.044322149252
1708126276.036027,1,3,3,24.3415234375,192676,44.12269998733575,1007.6328656050107,46.87179738299017
1708126277.0470805,1,3,3,24.3719921875,194476,44.06223495069343,1007.623253455221,46.95218644540782
1708126278.058789,1,3,3,24.406953125,196311,43.944172336868064,1007.6178226806024,46.997605787385034
1708126279.0716536,1,3,3,24.440546875,198890,43.82021568030175,1007.6185531839002,46.99149633816761
1708126280.085227,1,3,3,24.470234375,199605,43.69008618660529,1007.6245543634234,46.94130655462201
1708126281.0989916,1,3,3,24.4954296875,201538,43.57113202660819,1007.628061614772,46.911974402026544
1708126282.1131198,1,3,3,24.5176953125,202642,43.457715090279535,1007.6266264438152,46.92397713985903
1708126283.1244256,1,3,3,24.5378125,204007,43.33832983456743,1007.6113976898508,47.051340339589345
1708126284.1355312,1,3,3,24.5559765625,205391,43.23616694034829,1007.6132113759122,47.03617179029902
1708126285.1466143,1,3,3,24.57140625,206922,43.15689469376751,1007.6121083889225,47.045396489158
1708126286.1576748,1,3,3,24.58546875,208477,43.08328522819366,1007.6120890822416,47.04555795833198
1708126287.1687574,1,3,3,24.5977734375,210187,43.00372410228464,1007.6175800739967,46.999634790296
1708126288.1814828,1,3,3,24.607734375,210986,42.92971126260065,1007.610644221095,47.05764189309324
1708126289.1944408,1,3,3,24.6157421875,212061,42.87283837305419,1007.6122799382201,47.04396175672965
1708126290.2072947,1,3,3,24.6219921875,214106,42.82155992390082,1007.6160369413112,47.01254055165319
1708126291.2212195,1,3,3,24.6294140625,215771,42.7646552875875,1007.6166844117881,47.00712552639655
1708126292.2342396,2,3,3,24.6364453125,217036,42.69618202838758,1007.6234533273399,46.950514853372894
1708126293.2471848,2,3,3,24.6430859375,217888,42.66230817760827,1007.6244783863699,46.9419419735033
1708126294.2583313,2,3,3,24.6489453125,220339,42.60527837910476,1007.6140156295024,47.02944551740447
1708126295.2693567,1,3,3,24.6540234375,219902,42.559711939758984,1007.6124060855407,47.04290673853572
1708126296.280854,1,3,3,24.6598828125,221659,42.496951004900865,1007.6171988241955,47.0028233149797
1708126297.294029,1,3,3,24.6630078125,223294,42.46271932427401,1007.6122963682951,47.04382434573687
1708126298.3051314,2,3,3,24.660859375,224196,42.41637789594623,1007.6120646849515,47.04576200222417
1708126299.3189096,2,3,3,24.6555859375,225410,42.38121924610629,1007.6031744945466,47.12011434021973
1708126300.332889,2,3,3,24.6524609375,226637,42.352068958925514,1007.6080768332349,47.07911398921192
1708126301.346548,2,3,3,24.6485546875,227877,42.340112309635245,1007.6031865559859,47.12001346506
1708126302.3601317,2,3,3,24.6442578125,228660,42.33387142422751,1007.6061131173464,47.09553736400488
1708126303.3733258,2,3,3,24.6458203125,229605,42.33404671574915,1007.6019669617798,47.13021347697598
1708126304.3868592,2,3,3,24.6501171875,231521,42.3460466736789,1007.6024305204988,47.1263365268643
1708126305.3999379,2,3,3,24.6567578125,232167,42.3640704668647,1007.6085403096383,47.07523774656816
1708126306.4127343,2,3,3,24.6630078125,232816,42.37629232312783,1007.6004304878054,47.14306371038217
1708126307.4256606,2,3,3,24.6712109375,234455,42.3944956132579,1007.6040886486305,47.112468867158476
1708126308.439346,1,2,2,24.6815625,235783,42.41870465688429,1007.596111883267,47.1791822569927
1708126309.4530787,1,2,2,24.6925,235783,42.46027339664339,1007.5891221325961,47.23764113653224
1708126310.4664729,1,3,3,24.70265625,236789,42.50753104324443,1007.5825098758136,47.292943142785276
1708126311.4792402,1,3,3,24.7118359375,237126,42.59506662351635,1007.5759460235059,47.347840605951355
1708126312.4918509,1,3,3,24.71671875,238143,42.79185670826562,1007.5655290551102,47.43496460170796
1708126313.5046885,1,2,2,24.717109375,239686,42.98258950326572,1007.5678827825326,47.41527875890224
1708126314.5173163,1,2,2,24.7130078125,240725,43.07465607399417,1007.5694451763453,47.40221140441519
1708126315.5303342,2,3,3,24.7016796875,241774,43.06758224897045,1007.557130530051,47.50520755203995
1708126316.5442405,2,3,3,24.69015625,242301,43.008437055950175,1007.5733047967257,47.36993086322164
1708126317.558413,2,3,3,24.6878125,242125,42.96769892336038,1007.5710490600748,47.388797058798
1708126318.5711982,2,3,3,24.6844921875,243720,43.10033637221982,1007.5705374531443,47.39307596570573
1708126319.5841281,2,3,3,24.6731640625,244795,43.232163905534904,1007.5650024813195,47.439368705927635
1708126320.5979235,2,3,3,24.659296875,245336,43.25374261823084,1007.5602722220599,47.47893124991285
1708126321.6108677,2,3,3,24.645234375,246425,43.228977470687006,1007.558602204738,47.49289883605273
1708126322.6242712,1,2,2,24.6348828125,246973,43.2046401953374,1007.5309813983623,47.72391472307602
1708126323.638341,1,2,2,24.6235546875,248633,43.23808389226223,1007.5118848900034,47.88363778014684
1708126324.6518803,1,2,2,24.605,249191,43.23017808164246,1007.5077258418326,47.91842435388303
1708126325.6649563,1,2,2,24.5782421875,250127,43.19818440970659,1007.506685579531,47.92712519969163
1708126326.6777756,1,2,2,24.5493359375,250880,43.125453255726185,1007.4952409022211,48.022849972248395
1708126327.690727,1,2,2,24.5176953125,251259,43.04088505572139,1007.4876573252897,48.08628048304434
1708126328.7036762,1,2,2,24.4903515625,251259,42.93951895509788,1007.4822303924873,48.131672640667546
1708126329.716596,2,3,3,24.456171875,252785,42.87210077593932,1007.483915580568,48.117577305277685
1708126330.7294834,2,3,3,24.420625,254135,42.76992754222608,1007.4866791533537,48.09446213130437
