Time,Latitude,Longitude,counts
1712963942.26,0,0,39.0
1712963944.25,0,0,46.5
1712963946.24,0,0,42.0
1712963948.22,0,0,42.0
1712963950.24,0,0,41.0
1712963952.24,0,0,46.0
1712963954.27,0,0,52.5
1712963956.24,0,0,41.0
1712963958.22,0,0,41.0
1712963960.24,0,0,49.5
1712963962.24,0,0,41.5
1712963964.24,0,0,43.0
1712963966.22,0,0,43.0
1712963968.25,0,0,52.0
1712963970.24,0,0,48.0
1712963972.24,0,0,43.0
1712963974.24,0,0,45.0
1712963976.24,0,0,45.0
1712963978.26,0,0,35.5
1712963980.24,0,0,35.0
1712963982.24,0,0,49.0
1712963984.24,0,0,42.5
1712963986.24,0,0,42.5
1712963988.25,0,0,34.0
1712963990.24,0,0,44.5
1712963992.24,0,0,40.0
1712963994.22,0,0,40.0
1712963996.24,0,0,47.0
1712963998.25,0,0,51.5
1712964000.24,0,0,40.5
1712964002.24,0,0,50.0
1712964004.22,0,0,50.0
1712964006.24,0,0,43.0
1712964008.25,0,0,33.5
1712964010.24,0,0,35.0
1712964012.24,0,0,53.5
1712964014.22,0,0,53.5
1712964016.24,0,0,47.5
1712964018.26,0,0,44.0
1712964020.24,0,0,46.0
1712964022.23,0,0,46.0
1712964024.24,0,0,43.0
1712964026.24,0,0,47.5
1712964028.25,0,0,52.0
1712964030.24,0,0,49.0
1712964032.22,0,0,49.0
1712964034.24,0,0,46.0
1712964036.24,0,0,52.5
1712964038.25,0,0,38.0
1712964040.24,0,0,51.5
1712964042.22,0,0,51.5
1712964044.24,0,0,44.5
1712964046.24,0,0,46.5
1712964048.24,0,0,42.5
1712964050.22,0,0,42.5
1712964052.24,0,0,47.0
1712964054.24,0,0,44.0
1712964056.24,0,0,43.5
1712964058.24,0,0,35.5
1712964060.22,0,0,35.5
1712964062.24,0,0,46.5
1712964064.24,0,0,44.0
1712964066.24,0,0,47.0
1712964068.24,0,0,39.0
1712964070.22,0,0,39.0
1712964072.24,0,0,38.5
1712964074.24,0,0,44.5
1712964076.24,0,0,45.0
1712964078.22,0,0,45.0
1712964080.24,0,0,52.5
1712964082.24,0,0,42.5
1712964084.24,0,0,36.5
1712964086.24,0,0,41.0
1712964088.24,0,0,41.0
1712964090.24,0,0,32.5
1712964092.24,0,0,45.0
1712964094.24,0,0,47.5
1712964096.22,0,0,47.5
1712964098.24,0,0,40.0
1712964100.24,0,0,42.0
1712964102.24,0,0,52.5
1712964104.24,0,0,50.0
1712964106.22,0,0,50.0
1712964108.24,0,0,40.5
1712964110.24,0,0,52.0
1712964112.24,0,0,43.5
1712964114.24,0,0,37.5
1712964116.24,0,0,37.5
1712964118.24,0,0,45.0
1712964120.24,0,0,52.5
1712964122.24,0,0,42.5
1712964124.22,0,0,42.5
1712964126.24,0,0,45.0
1712964128.24,0,0,39.0
1712964130.24,0,0,46.5
1712964132.24,0,0,46.0
1712964134.23,0,0,46.0
1712964136.24,0,0,50.0
1712964138.24,0,0,50.0
1712964140.24,0,0,43.0
1712964142.24,0,0,45.0
1712964144.22,0,0,45.0
1712964146.24,0,0,50.0
1712964148.24,0,0,48.0
1712964150.24,0,0,43.5
1712964152.22,0,0,43.5
1712964154.24,0,0,40.5
1712964156.24,0,0,51.0
1712964158.24,0,0,50.5
1712964160.24,0,0,51.5
1712964162.22,0,0,51.5
1712964164.24,0,0,46.5
1712964166.24,0,0,46.5
1712964168.24,0,0,48.5
1712964170.29,0,0,43.0
1712964172.23,0,0,43.0
1712964174.24,0,0,47.5
1712964176.28,0,0,42.5
1712964178.24,0,0,49.0
1712964180.24,0,0,55.0
1712964182.22,0,0,55.0
1712964184.24,0,0,47.5
1712964186.24,0,0,46.5
1712964188.24,0,0,53.5
1712964190.22,0,0,53.5
1712964192.24,0,0,46.5
1712964194.24,0,0,47.5
1712964196.24,0,0,48.0
1712964198.24,0,0,54.0
1712964200.22,0,0,54.0
1712964202.24,0,0,45.5
1712964204.24,0,0,49.0
1712964206.24,0,0,50.0
1712964208.24,0,0,42.5
1712964210.22,0,0,42.5
1712964212.24,0,0,52.0
1712964214.24,0,0,41.5
1712964216.24,0,0,38.0
1712964218.22,0,0,38.0
1712964220.24,0,0,42.0
1712964222.24,0,0,43.5
1712964224.24,0,0,42.0
1712964226.24,0,0,50.5
1712964228.22,0,0,50.5
1712964230.24,0,0,44.0
1712964232.24,0,0,47.5
1712964234.24,0,0,46.0
1712964236.24,0,0,42.5
1712964238.22,0,0,42.5
1712964240.24,0,0,45.0
1712964242.24,0,0,47.5
1712964244.24,0,0,42.5
