Time,PM1.0,PM2.5,PM10,Temperature,Gas,Relative Humidity,Pressure,Altitude
1708731969.4662979,0,1,1,33.5579296875,19974,100,727.2400301349277,2711.43126153036
1708731970.4774542,0,0,0,24.1696484375,6926,32.88254323635904,1007.2556023779542,50.02742007917374
1708731971.4884949,0,0,0,24.19796875,7954,32.85152754354969,1007.2482504181803,50.088925139022855
1708731972.499588,0,0,0,24.2278515625,9025,32.78707797381945,1007.257256156667,50.01358493947668
1708731973.51287,0,0,1,24.25578125,10029,32.70010008489996,1007.26317313778,49.96408496069684
1708731974.5254781,0,0,1,24.2774609375,11114,32.61819069225666,1007.25747674609,50.01173953950893
1708731975.538478,0,0,1,24.2958203125,12625,32.51367505130152,1007.2639012801279,49.95799352085346
1708731976.549737,0,1,2,24.3114453125,13633,32.42572976464378,1007.2607944486131,49.98398444889694
1708731977.5609162,0,1,2,24.3235546875,14678,32.3598377185849,1007.262554431727,49.96926088921529
1708731978.5719926,0,1,2,24.332734375,15614,32.310445266323946,1007.2596859135679,49.993258174642385
1708731979.5830364,0,1,2,24.339765625,16590,32.26645244126598,1007.2603710757953,49.9875262785717
1708731980.5940657,0,1,2,24.3434765625,17611,32.21102378047,1007.2592851215572,49.99661110196689
1708731981.6070385,0,1,2,24.3473828125,18607,32.18350067207706,1007.2567706229539,50.017646803099574
1708731982.619961,0,1,3,24.349921875,19583,32.13914197905258,1007.2520963995818,50.05675036428561
1708731983.632928,0,1,3,24.35109375,20494,32.11695883692666,1007.2591585126231,49.99767028137464
1708731984.6458824,0,1,3,24.351875,21578,32.07246297694158,1007.265603603517,49.943752362627215
1708731985.658767,0,1,3,24.351484375,22504,32.03901285477547,1007.2632495577383,49.963445652048684
1708731986.6716607,0,1,3,24.35109375,24504,32.01670547270037,1007.2608955142683,49.983138959424224
1708731987.6846437,0,1,3,24.349921875,25569,31.977632397730005,1007.2625183898796,49.969562405701225
1708731988.6958544,0,1,2,24.34796875,26490,31.932935938292182,1007.2629071647733,49.96631001905833
1708731989.7068827,0,1,2,24.3477734375,27601,31.899535632834773,1007.2678096220585,49.92529746155033
1708731990.7179508,0,1,2,24.3469921875,28659,31.86052924395475,1007.2648385359788,49.950152699858826
1708731991.729101,0,1,2,24.346015625,29503,31.849319659266012,1007.2754548415177,49.86134006158204
1708731992.7401526,0,1,2,24.3434765625,30545,31.832411700573868,1007.2766549409162,49.85130045908758
1708731993.7529235,0,1,2,24.3403515625,31640,31.81545392017913,1007.2786663877415,49.83447343582504
1708731994.766113,0,1,3,24.3368359375,32623,31.79846369825411,1007.2783237430014,49.83733987359097
1708731995.7788825,0,1,3,24.334296875,33313,31.770445557007122,1007.281260668882,49.81277067552688
1708731996.7915852,0,1,3,24.3341015625,34271,31.803780670211676,1007.2861630096091,49.771759698173454
1708731997.8052063,0,1,2,24.3524609375,34757,31.911079061512602,1007.2873732429745,49.761635405719964
1708731998.819234,0,1,2,24.3801953125,35599,32.125131799699986,1007.2877573347666,49.758422260845585
1708731999.8325791,0,1,2,24.4137890625,36153,32.407031309899594,1007.2782843447568,49.83766946462376
1708732000.846168,0,1,2,24.446796875,37033,32.71743028609926,1007.2817779426825,49.80844336686193
1708732001.8592556,0,1,2,24.478046875,38056,32.944272549688066,1007.2859654207679,49.77341264247086
1708732002.8721948,0,1,2,24.502265625,39136,33.019364310477776,1007.2946808130764,49.70050362267727
1708732003.8849387,0,1,1,24.5231640625,40207,33.01006275522374,1007.2912005270923,49.72961805571812
1708732004.8975585,0,1,1,24.5440625,41221,32.939095782358734,1007.2859805545596,49.773286039593835
1708732005.9101415,0,1,1,24.563203125,41966,32.85119208011393,1007.274507207362,49.869267636962796
1708732006.9229522,0,0,0,24.5825390625,42989,32.785748778779016,1007.2650776013237,49.948152746811886
1708732007.9359853,0,0,0,24.607734375,43073,32.765646814910404,1007.2614229521153,49.97872655013546
1708732008.948969,0,0,0,24.645234375,41183,33.234535764403425,1007.2650303284754,49.94854821806126
1708732009.9619257,0,0,0,24.69015625,39206,34.734826094804326,1007.268185336836,49.92215434569403
1708732010.974879,0,0,0,24.7415234375,38188,37.11892453785048,1007.2710797287745,49.89794077256869
1708732011.9878979,0,0,0,24.7926953125,38588,39.65759747751805,1007.2719162648208,49.89094258545472
1708732013.0008051,0,0,0,24.8407421875,39915,41.441550055919016,1007.2730229179468,49.88168469438737
1708732014.0137472,0,0,0,24.8989453125,40133,42.53548882636407,1007.2797207279864,49.82565322454701
1708732015.0267441,0,0,0,24.9567578125,41183,43.51080854602973,1007.2823108030224,49.80398566923683
1708732016.0396085,0,0,0,25.026484375,40877,44.27029080568515,1007.2897799774879,49.74150172792095
1708732017.0530634,0,0,0,25.0969921875,41649,45.433362340461215,1007.2862890765039,49.77070507622397
1708732018.067256,0,0,0,25.1684765625,42207,46.2141838489594,1007.2860553572459,49.772660272075655
1708732019.0813735,0,0,0,25.2438671875,42739,46.7972247685956,1007.2937015051234,49.70869604344514
1708732020.101513,0,0,0,25.3176953125,43541,47.33919122370101,1007.3040775447614,49.6218953988717
1708732021.1143823,0,0,0,25.392890625,44063,47.70471384058191,1007.3078895430741,49.5900063510883
1708732022.127385,0,0,0,25.4721875,44019,48.17636485846509,1007.3059671017493,49.60608840875732
1708732023.1403282,0,0,0,25.555390625,44507,48.80449489834503,1007.3171378363616,49.51264070338343
1708732024.1532164,0,0,0,25.6430859375,44915,49.41691870214228,1007.3057776628418,49.60767314894331
1708732025.1661909,0,0,0,25.7305859375,45518,49.82602525979697,1007.3114786541922,49.55998194233773
